,DrugName,ActiveIngredient
6299,FENOFIBRIC ACID,CHOLINE FENOFIBRATE
6300,ARFORMOTEROL TARTRATE,ARFORMOTEROL TARTRATE
6301,TEFLARO,CEFTAROLINE FOSAMIL
6302,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; VALSARTAN
6303,AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM
6304,DYCLOPRO,DYCLONINE HYDROCHLORIDE
6305,NUCYNTA ER,TAPENTADOL HYDROCHLORIDE
6306,LATUDA,LURASIDONE HYDROCHLORIDE
6307,LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE,LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE
6308,REPAGLINIDE AND METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE; REPAGLINIDE
6309,ALOSETRON HYDROCHLORIDE,ALOSETRON HYDROCHLORIDE
6310,FLUORODOPA F18,FLUORODOPA F-18
6311,PERIKABIVEN IN PLASTIC CONTAINER,AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL
6312,KABIVEN IN PLASTIC CONTAINER,AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM GLYCEROPHOSPHATE; SOYBEAN OIL
6313,DURLAZA,ASPIRIN
6314,SIGNIFOR,PASIREOTIDE DIASPARTATE
6315,KOMBIGLYZE XR,METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE
6316,CYSTARAN,CYSTEAMINE HYDROCHLORIDE
6317,VALGANCICLOVIR HYDROCHLORIDE,VALGANCICLOVIR HYDROCHLORIDE
6318,LAMIVUDINE/NEVIRAPINE/ZIDOVUDINE TABLETS,Lamivudine; Nevirapine; Zidovudine
6319,EDARBI,AZILSARTAN KAMEDOXOMIL
6320,CASPOFUNGIN ACETATE,CASPOFUNGIN ACETATE
6321,BUPROPION HYDROBROMIDE,BUPROPION HYDROBROMIDE
6322,ESOMEPRAZOLE SODIUM,ESOMEPRAZOLE SODIUM
6323,CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE
6324,ISOPTO CARPINE,PILOCARPINE HYDROCHLORIDE
6325,XULANE,ETHINYL ESTRADIOL; NORELGESTROMIN
6326,GYNAZOLE-1,BUTOCONAZOLE NITRATE
6327,DICLOFENAC SODIUM ,DICLOFENAC SODIUM
6328,CEFOXITIN IN PLASTIC CONTAINER,CEFOXITIN SODIUM
6329,"PROMETHAZINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE W/CODEINE PHOSPHATE",CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
6330,JEVTANA KIT,CABAZITAXEL
6331,RANOLAZINE,RANOLAZINE
6332,PIOGLITAZONE HYDROCHLORIDE AND GLIMEPIRIDE,GLIMEPIRIDE; PIOGLITAZONE HYDROCHLORIDE
6333,PHENOXYBENZAMINE HYDROCHLORIDE,PHENOXYBENZAMINE HYDROCHLORIDE
6334,SEVELAMER HYDROCHLORIDE,SEVELAMER HYDROCHLORIDE
6335,VIENVA,ETHINYL ESTRADIOL; LEVONORGESTREL
6336,GLYDO,LIDOCAINE HYDROCHLORIDE
6337,MILPROSA,PROGESTERONE
6338,VIRAMUNE XR,NEVIRAPINE
6339,TINIDAZOLE,TINIDAZOLE
6340,BROMFENAC SODIUM,BROMFENAC SODIUM
6341,SUNITINIB MALATE,SUNITINIB MALATE
6342,CIDOFOVIR,CIDOFOVIR
6343,GADAVIST,GADOBUTROL
6344,TRADJENTA,LINAGLIPTIN
6345,JENTADUETO,LINAGLIPTIN; METFORMIN HYDROCHLORIDE
6346,GILOTRIF,AFATINIB DIMALEATE
6347,NITHIODOTE,SODIUM NITRITE; SODIUM THIOSULFATE
6348,FALLBACK SOLO,LEVONORGESTREL
6349,LENALIDOMIDE,LENALIDOMIDE
6350,IRBESARTAN HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE; IRBESARTAN
6351,PIRMELLA 7/7/7,ETHINYL ESTRADIOL; NORETHINDRONE
6352,MAFENIDE ACETATE,MAFENIDE ACETATE
6353,PIRMELLA 1/35,ETHINYL ESTRADIOL; NORETHINDRONE
6354,HALAVEN,ERIBULIN MESYLATE
6355,ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE
6356,AZACITIDINE,AZACITIDINE
6357,FLUCYTOSINE,FLUCYTOSINE
6358,SIROLIMUS,SIROLIMUS
6359,BLISOVI FE 1/20,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6360,BLISOVI FE 1.5/30,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6361,TELMISARTAN AND AMLODIPINE,AMLODIPINE BESYLATE; TELMISARTAN
6362,MUPIROCIN,MUPIROCIN CALCIUM
6363,HYDROCHLOROTHIAZIDE; IRBESARTAN,HYDROCHLOROTHIAZIDE; IRBESARTAN
6364,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE ,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE
6365,TROKENDI XR,TOPIRAMATE
6366,NOCTIVA,DESMOPRESSIN ACETATE
6367,NIKKI,DROSPIRENONE; ETHINYL ESTRADIOL
6368,FELBAMATE,FELBAMATE
6369,TOBI PODHALER,TOBRAMYCIN
6370,CLINDAMYCIN PHOSPHATE IN 5% DEXTROSE IN PLASTIC CONTAINER,CLINDAMYCIN PHOSPHATE
6371,DIFICID,FIDAXOMICIN
6372,AUVI-Q,EPINEPHRINE
6373,ARGATROBAN IN DEXTROSE,ARGATROBAN
6374,LINCOMYCIN,LINCOMYCIN HYDROCHLORIDE
6375,ULTACAN FORTE,ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
6376,ULTACAN,ARTICAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
6377,VARENICLINE TARTRATE,VARENICLINE TARTRATE
6378,ADVIL,IBUPROFEN SODIUM
6379,EMTRICITABINE AND  TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE
6380,BETHKIS,TOBRAMYCIN
6381,RASAGILINE MESYLATE,RASAGILINE MESYLATE
6382,NORGESTREL AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; NORGESTREL
6383,VYFEMLA,ETHINYL ESTRADIOL; NORETHINDRONE
6384,ENSKYCE,DESOGESTREL; ETHINYL ESTRADIOL
6385,INCIVEK,TELAPREVIR
6386,VARENICLINE,VARENICLINE
6387,XIMINO,MINOCYCLINE HYDROCHLORIDE
6388,ILUVIEN,FLUOCINOLONE ACETONIDE
6389,AMYVID,FLORBETAPIR F-18
6390,EPROSARTAN MESYLATE,EPROSARTAN MESYLATE
6391,YAELA,DROSPIRENONE; ETHINYL ESTRADIOL
6392,MELAMISA,DROSPIRENONE; ETHINYL ESTRADIOL
6393,RAYOS,PREDNISONE
6394,EDURANT,RILPIVIRINE HYDROCHLORIDE
6395,BRONCHITOL,MANNITOL
6396,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL
6397,VASCEPA,ICOSAPENT ETHYL
6398,ONFI,CLOBAZAM
6399,DARUNAVIR,DARUNAVIR
6400,OXAYDO,OXYCODONE HYDROCHLORIDE
6401,SUPRENZA,PHENTERMINE HYDROCHLORIDE
6402,SODIUM OXYBATE,SODIUM OXYBATE
6403,ZENATANE,ISOTRETINOIN
6404,QUILLIVANT XR,METHYLPHENIDATE HYDROCHLORIDE
6405,DASATINIB,DASATINIB
6406,MEROPENEM AND SODIUM CHLORIDE IN DUPLEX CONTAINER,MEROPENEM
6407,KORLYM,MIFEPRISTONE
6408,PEMETREXED DISODIUM,PEMETREXED DISODIUM
6409,ENTECAVIR,ENTECAVIR
6410,COMPLERA,EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR DISOPROXIL FUMARATE
6411,ZETONNA,CICLESONIDE
6412,KEMEYA,DROSPIRENONE; ETHINYL ESTRADIOL
6413,RUBY-FILL,RUBIDIUM CHLORIDE RB-82
6414,ELIQUIS,APIXABAN
6415,RADIOGENIX SYSTEM,TECHNETIUM TC-99M SODIUM PERTECHNETATE GENERATOR
6416,LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE; NEVIRAPINE,LAMIVUDINE; TENOFOVIR DISOPROXIL FUMARATE; NEVIRAPINE
6417,ROSUVASTATIN ZINC,ROSUVASTATIN ZINC
6418,JAKAFI,RUXOLITINIB PHOSPHATE
6419,LYMPHOSEEK KIT,TECHNETIUM TC-99M TILMANOCEPT
6420,OXYTROL FOR WOMEN,OXYBUTYNIN
6421,"PEG-3350, SODIUM CHLORIDE, SODIUM BICARBONATE, POTASSIUM CHLORIDE AND BISACODYL",BISACODYL; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE
6422,BEKYREE,DESOGESTREL; ETHINYL ESTRADIOL
6423,DYMISTA,AZELASTINE HYDROCHLORIDE; FLUTICASONE PROPIONATE
6424,VICTRELIS,BOCEPREVIR
6425,BUSULFAN,BUSULFAN
6426,JANUMET XR,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE
6427,STENDRA,AVANAFIL
6428,ZECUITY,SUMATRIPTAN SUCCINATE
6429,MYTESI,CROFELEMER
6430,FARXIGA,DAPAGLIFLOZIN
6431,DEXLANSOPRAZOLE,DEXLANSOPRAZOLE
6432,VALCHLOR,MECHLORETHAMINE HYDROCHLORIDE
6433,KYRA,DROSPIRENONE; ETHINYL ESTRADIOL
6434,INLYTA,AXITINIB
6435,SITAGLIPTIN PHOSPHATE,SITAGLIPTIN PHOSPHATE
6436,EDARBYCLOR,AZILSARTAN KAMEDOXOMIL; CHLORTHALIDONE
6437,ESOMEPRAZOLE STRONTIUM,ESOMEPRAZOLE STRONTIUM
6438,JUVISYNC,SIMVASTATIN; SITAGLIPTIN PHOSPHATE
6439,BINOSTO,ALENDRONATE SODIUM
6440,ESTRADIOL VALERATE AND DIENOGEST,DIENOGEST; ESTRADIOL VALERATE
6441,SITAGLIPTIN PHOSPHATE; METFORMIN HYDROCHLORIDE,SITAGLIPTIN PHOSPHATE; METFORMIN HYDROCHLORIDE
6442,ZYTIGA,ABIRATERONE ACETATE
6443,SITAGLIPTIN; METFORMIN HYDROCHLORIDE,SITAGLIPTIN; METFORMIN HYDROCHLORIDE
6444,IBUPROFEN LYSINE,IBUPROFEN LYSINE
6445,AVACLYR,ACYCLOVIR
6446,IRBESARTAN; HYDROCHLOROTHIAZIDE,IRBESARTAN: HYDROCHLOROTHIAZIDE
6447,FABIOR,TAZAROTENE
6448,ZELBORAF,VEMURAFENIB
6449,TUDORZA PRESSAIR,ACLIDINIUM BROMIDE
6450,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM; NAPROXEN
6451,"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE",AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL
6452,MARQIBO KIT,VINCRISTINE SULFATE
6453,ELIFEMME,ETHINYL ESTRADIOL; LEVONORGESTREL
6454,DUTASTERIDE AND TAMSULOSIN HYDROCHLORIDE,DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE
6455,"SODIUM SULFATE, POTASSIUM SULFATE AND MAGNESIUM SULFATE ",MAGNESIUM SULFATE; POTASSIUM SULFATE; SODIUM SULFATE
6456,GELNIQUE 3%,OXYBUTYNIN
6457,ZIOPTAN,TAFLUPROST
6458,POLMON,DEXCHLORPHENIRAMINE MALEATE
6459,PREPOPIK,CITRIC ACID; MAGNESIUM OXIDE; SODIUM PICOSULFATE
6460,LEVETIRACETAM IN SODIUM CHLORIDE,LEVETIRACETAM
6461,"GRISEOFULVIN,ULTRAMICROSIZE","GRISEOFULVIN, ULTRAMICROSIZE"
6462,CLINDAMYCIN PHOSPHATE AND TRETINOIN,CLINDAMYCIN PHOSPHATE; TRETINOIN
6463,XALKORI,CRIZOTINIB
6464,RITONAVIR,RITONAVIR
6465,FENTANYL,FENTANYL
6466,"BISMUTH SUBSALICYLATE, METRONIDAZOLE AND TETRACYCLINE HYDROCHLORIDE",BISMUTH SUBSALICYLATE; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE
6467,OSELTAMIVIR PHOSPHATE,OSELTAMIVIR PHOSPHATE
6468,MYRBETRIQ,MIRABEGRON
6469,CAPREOMYCIN SULFATE,CAPREOMYCIN SULFATE
6470,OPCICON ONE-STEP,LEVONORGESTREL
6471,PALIPERIDONE,PALIPERIDONE
6472,COSOPT PF,DORZOLAMIDE HYDROCHLORIDE; TIMOLOL MALEATE
6473,VOLNEA,DESOGESTREL; ETHINYL ESTRADIOL
6474,KYPROLIS,CARFILZOMIB
6475,SKLICE,IVERMECTIN
6476,SUBSYS,FENTANYL
6477,ISIBLOOM,DESOGESTREL; ETHINYL ESTRADIOL
6478,OMONTYS PRESERVATIVE FREE,PEGINESATIDE ACETATE
6479,OMONTYS,PEGINESATIDE ACETATE
6480,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE
6481,"GRISEOFULVIN, ULTRAMICROSIZE","GRISEOFULVIN, ULTRAMICROSIZE"
6482,TAFINLAR,DABRAFENIB MESYLATE
6483,OXTELLAR XR,OXCARBAZEPINE
6484,LINZESS,LINACLOTIDE
6485,QNASL,BECLOMETHASONE DIPROPIONATE
6486,CERINTA,ETHINYL ESTRADIOL; LEVONORGESTREL
6487,PICATO,INGENOL MEBUTATE
6488,FYCOMPA,PERAMPANEL
6489,GENOSYL,NITRIC OXIDE
6490,ZOHYDRO ER,HYDROCODONE BITARTRATE
6491,FROVATRIPTAN SUCCINATE,FROVATRIPTAN SUCCINATE
6492,DEXTROMETHORPHAN HYDROBROMIDE AND QUINIDINE SULFATE,DEXTROMETHORPHAN HYDROBROMIDE; QUINIDINE SULFATE
6493,"BROMPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE",BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
6494,ATOVAQUONE,ATOVAQUONE
6495,CHABELINA FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6496,DECITABINE,DECITABINE
6497,ABILIFY MAINTENA KIT,ARIPIPRAZOLE
6498,CLONIDINE HYDROCHLORIDE ,CLONIDINE HYDROCHLORIDE
6499,SYLEVIA,ETHINYL ESTRADIOL; LEVONORGESTREL
6500,AUBAGIO,TERIFLUNOMIDE
6501,DEXTROMETHORPHAN HYDROBROMIDE AND QUINIDINE SULFATE,DEXTROMETHORPHAN HYDROBROMIDE;QUINIDINE SULFATE
6502,LARIN 24 FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6503,LARIN 1/20,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6504,LARIN 1.5/30,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6505,ESTRADIOL VALERATE; ESTRADIOL VALERATE; DIENOGEST,ESTRADIOL VALERATE; ESTRADIOL VALERATE; DIENOGEST
6506,LAPATINIB DITOSYLATE,LAPATINIB DITOSYLATE
6507,STIVARGA,REGORAFENIB
6508,VITEKTA,ELVITEGRAVIR
6509,TYBOST,COBICISTAT
6510,STRIBILD,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE
6511,MAGNESIUM SULFATE ANHYDROUS; POTASSIUM SULFATE; SODIUM SULFATE,MAGNESIUM SULFATE ANHYDROUS; POTASSIUM SULFATE; SODIUM SULFATE
6512,STRIVERDI RESPIMAT,OLODATEROL HYDROCHLORIDE
6513,LO-BLISOVI FE,NORETHINDRONE ACETATE;ETHINYL ESTRADIOL;FERROUS FUMARATE
6514,VIZAMYL,FLUTEMETAMOL F-18
6515,TEMSIROLIMUS,TEMSIROLIMUS
6516,CHOLINE C-11,CHOLINE C-11
6517,SKYLA,LEVONORGESTREL
6518,ASHLYNA,ETHINYL ESTRADIOL; LEVONORGESTREL
6519,PROLENSA,BROMFENAC SODIUM
6520,BEXAROTENE,BEXAROTENE
6521,KALYDECO,IVACAFTOR
6522,IBUPROFEN AND PHENYLEPHRINE HYDROCHLORIDE,IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE
6523,NORTHERA,DROXIDOPA
6524,XELJANZ,TOFACITINIB CITRATE
6525,SODIUM FLUORIDE F-18,SODIUM FLUORIDE F-18
6526,SIGNIFOR LAR KIT,PASIREOTIDE PAMOATE
6527,CARBIDOPA,CARBIDOPA
6528,DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),DOXORUBICIN HYDROCHLORIDE
6529,RAVICTI,GLYCEROL PHENYLBUTYRATE
6530,RYTARY,CARBIDOPA; LEVODOPA
6531,RYZODEG 70/30,INSULIN ASPART; INSULIN DEGLUDEC
6532,TRESIBA,INSULIN DEGLUDEC
6533,PHOTREXA,RIBOFLAVIN 5'-PHOSPHATE SODIUM
6534,PHOTREXA VISCOUS IN DEXTRAN 20%,RIBOFLAVIN 5'-PHOSPHATE SODIUM
6535,AMABELZ,ESTRADIOL; NORETHINDRONE ACETATE
6536,NYMALIZE,NIMODIPINE
6537,BOSULIF,BOSUTINIB MONOHYDRATE
6538,MARAVIROC,MARAVIROC
6539,ERIVEDGE,VISMODEGIB
6540,PROCYSBI,CYSTEAMINE BITARTRATE
6541,CYCLAFEM 0.5/35,ETHINYL ESTRADIOL; NORETHINDRONE
6542,KAZANO,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE
6543,XTANDI,ENZALUTAMIDE
6544,FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE
6545,LERIBANE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6546,GATTEX KIT,TEDUGLUTIDE RECOMBINANT
6547,KAITLIB FE,ETHINYL ESTRADIOL; NORETHINDRONE
6548,ICLUSIG,PONATINIB HYDROCHLORIDE
6549,CALCIUM CHLORIDE 10%,CALCIUM CHLORIDE
6550,VERSACLOZ,CLOZAPINE
6551,ALLZITAL,ACETAMINOPHEN; BUTALBITAL
6552,PEMETREXED,PEMETREXED DISODIUM
6553,ILEVRO,NEPAFENAC
6554,LOMAIRA,PHENTERMINE HYDROCHLORIDE
6555,ORENITRAM,TREPROSTINIL DIOLAMINE
6556,OSPHENA,OSPEMIFENE
6557,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE
6558,RALTEGRAVIR,RALTEGRAVIR
6559,DEFERASIROX,DEFERASIROX
6560,LEVOLEUCOVORIN CALCIUM,LEVOLEUCOVORIN CALCIUM
6561,INJECTAFER,FERRIC CARBOXYMALTOSE
6562,JUBLIA,EFINACONAZOLE
6563,KYNAMRO,MIPOMERSEN SODIUM
6564,OXYCODONE HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE
6565,SYNRIBO,OMACETAXINE MEPESUCCINATE
6566,"DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM",DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM
6567,SUCLEAR,MAGNESIUM SULFATE; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; POTASSIUM SULFATE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM SULFATE
6568,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE
6569,UCERIS,BUDESONIDE
6570,TREPROSTINIL,TREPROSTINIL
6571,BORTEZOMIB,BORTEZOMIB
6572,NEBIVOLOL HYDROCHLORIDE,NEBIVOLOL HYDROCHLORIDE
6573,MINASTRIN 24 FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6574,LUMASON,SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES
6575,LUPANETA PACK,LEUPROLIDE ACETATE; NORETHINDRONE ACETATE
6576,VAZALORE,ASPIRIN
6577,MINIVELLE,ESTRADIOL
6578,COMETRIQ,CABOZANTINIB S-MALATE
6579,JAIMIESS,ETHINYL ESTRADIOL; LEVONORGESTREL
6580,ADAPALENE AND BENZOYL PEROXIDE,ADAPALENE; BENZOYL PEROXIDE
6581,SITAVIG,ACYCLOVIR
6582,"HYDROCODONE BITARTRATE, CHLORPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE HYDROCHLORIDE",CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
6583,HYDROCODONE BITARTRATE AND PSEUDOEPHEDRINE HYDROCHLORIDE,HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE
6584,PAROXETINE,PAROXETINE HYDROCHLORIDE
6585,JUXTAPID,LOMITAPIDE MESYLATE
6586,SODIUM NITRITE,SODIUM NITRITE
6587,PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE
6588,FOSAPREPITANT DIMEGLUMINE,FOSAPREPITANT DIMEGLUMINE
6589,DUOPA,CARBIDOPA; LEVODOPA
6590,MIGLITOL,MIGLITOL
6591,XOFIGO,RADIUM RA-223 DICHLORIDE
6592,ANORO ELLIPTA,UMECLIDINIUM BROMIDE; VILANTEROL TRIFENATATE
6593,COLCHICINE,COLCHICINE
6594,AFINITOR DISPERZ,EVEROLIMUS
6595,DESVENLAFAXINE SUCCINATE,DESVENLAFAXINE SUCCINATE
6596,EPZICOM,ABACAVIR;LAMIVUDINE
6597,DESVENLAFAXINE,DESVENLAFAXINE
6598,TWIRLA,ETHINYL ESTRADIOL; LEVONORGESTREL
6599,FOSAMPRENAVIR CALCIUM,FOSAMPRENAVIR CALCIUM
6600,POMALYST,POMALIDOMIDE
6601,CLOFARABINE,CLOFARABINE
6602,XARTEMIS XR,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE
6603,INVOKANA,CANAGLIFLOZIN
6604,MECAMYLAMINE HYDROCHLORIDE,MECAMYLAMINE HYDROCHLORIDE
6605,QUARTETTE,ETHINYL ESTRADIOL; LEVONORGESTREL
6606,TECFIDERA,DIMETHYL FUMARATE
6607,BLOXIVERZ,NEOSTIGMINE METHYLSULFATE
6608,BENDAMUSTINE HYDROCHLORIDE,BENDAMUSTINE HYDROCHLORIDE
6609,ASTAGRAF XL,TACROLIMUS
6610,MEKINIST,TRAMETINIB DIMETHYL SULFOXIDE
6611,"EFAVIRENZ, LAMIVUDINE, AND TENOFOVIR DISOPROXIL FUMARATE",EFAVIRENZ;LAMIVUDINE;TENOFOVIR DISOPROXIL FUMARATE
6612,SODIUM SULFATE; POTASSIUM SULFATE; MAGNESIUM SULFATE,SODIUM SULFATE;POTASSIUM SULFATE;MAGNESIUM SULFATE
6613,METFORMIN HYDROCHLORIDE AND  SITAGLIPTIN PHOSPHATE,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE
6614,LUZU,LULICONAZOLE
6615,IVERMECTIN,IVERMECTIN
6616,FETZIMA,LEVOMILNACIPRAN HYDROCHLORIDE
6617,ADRENALIN,EPINEPHRINE
6618,"ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE",ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE
6619,FYAVOLV,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6620,ZUBSOLV,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE
6621,SIMBRINZA,BRIMONIDINE TARTRATE; BRINZOLAMIDE
6622,BREO ELLIPTA,FLUTICASONE FUROATE; VILANTEROL TRIFENATATE
6623,VAZCULEP,PHENYLEPHRINE HYDROCHLORIDE
6624,ETHINYL ESTRADIOL; ETONOGESTREL,ETHINYL ESTRADIOL; ETONOGESTREL
6625,VITUZ,CHLORPHENIRAMINE MALEATE; HYDROCODONE BITARTRATE
6626,EPANED KIT,ENALAPRIL MALEATE
6627,ABACAVIR AND LAMIVUDINE,ABACAVIR;LAMIVUDINE
6628,ADZENYS ER,AMPHETAMINE
6629,ADZENYS XR-ODT,AMPHETAMINE
6630,INVOKAMET,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE
6631,VRAYLAR,CARIPRAZINE HYDROCHLORIDE
6632,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE
6633,SIRTURO,BEDAQUILINE FUMARATE
6634,MITIGO,MORPHINE SULFATE
6635,VOGELXO,TESTOSTERONE
6636,RIVASTIGMINE,RIVASTIGMINE
6637,OPSUMIT,MACITENTAN
6638,DELZICOL,MESALAMINE
6639,ELEPSIA XR,LEVETIRACETAM
6640,TAYTULLA,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6641,KERYDIN,TAVABOROLE
6642,JYNARQUE,TOLVAPTAN
6643,PROBUPHINE,BUPRENORPHINE HYDROCHLORIDE
6644,TRINTELLIX,VORTIOXETINE HYDROBROMIDE
6645,VASOSTRICT,VASOPRESSIN
6646,FESOTERODINE FUMARATE,FESOTERODINE FUMARATE
6647,CLINOLIPID 20%,OLIVE OIL; SOYBEAN OIL
6648,BRISDELLE,PAROXETINE MESYLATE
6649,PIMOZIDE,PIMOZIDE
6650,COLPREP KIT,MAGNESIUM SULFATE; POTASSIUM SULFATE; SODIUM SULFATE
6651,BELSOMRA,SUVOREXANT
6652,TETRABENAZINE,TETRABENAZINE
6653,TOLCAPONE,TOLCAPONE
6654,SITAGLIPTIN PHOSPHATE; METFORMIN HYDROCHLORIDE,SITAGLIPTIN PHOSPHATE;METFORMIN HYDROCHLORIDE
6655,ZORVOLEX,DICLOFENAC
6656,JARDIANCE,EMPAGLIFLOZIN
6657,PROVAYBLUE,METHYLENE BLUE
6658,ETHACRYNATE SODIUM,ETHACRYNATE SODIUM
6659,AZELAIC ACID,AZELAIC ACID
6660,LO MINASTRIN FE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
6661,NEXIUM 24HR,ESOMEPRAZOLE MAGNESIUM
6662,SOVALDI,SOFOSBUVIR
6663,NEURACEQ,FLORBETABEN F-18
6664,KHEDEZLA,DESVENLAFAXINE
6665,IMPAVIDO,MILTEFOSINE
6666,ETHYNODIOL DIACETATE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
6667,MIRVASO,BRIMONIDINE TARTRATE
6668,SILODOSIN,SILODOSIN
6669,ACIPHEX SPRINKLE,RABEPRAZOLE SODIUM
6670,LOPINAVIR; RITONAVIR,LOPINAVIR;RITONAVIR
6671,METOCLOPRAMIDE,METOCLOPRAMIDE HYDROCHLORIDE
6672,MOVANTIK,NALOXEGOL OXALATE
6673,TIVORBEX,INDOMETHACIN
6674,DOTAREM,GADOTERATE MEGLUMINE
6675,TREZIX,ACETAMINOPHEN; CAFFEINE; DIHYDROCODEINE BITARTRATE
6676,LACOSAMIDE,LACOSAMIDE
6677,TIVICAY,DOLUTEGRAVIR SODIUM
6678,POSIMIR,BUPIVACAINE
