Drug,Condition,Recommendation,Rationale
Zolpidem,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Amitriptyline,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Amoxapine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Clomipramine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Desipramine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Doxepin,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Imipramine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Nortriptyline,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Paroxetine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Protriptyline,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Trimipramine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Citalopram,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Escitalopram,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Fluoxetine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Paroxetine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Sertraline,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Desvenlafaxine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Duloxetine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Levomilnacipran,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Milnacipran,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Venlafaxine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Opium,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Heroin,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Codeine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Oxycodone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Hydrocodone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Tramadol,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Morphine,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Hydromorphone,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Fentanyl,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Carfentanil,History of falls or fractures,Avoid,"May cause ataxia, impaired psychomotor function, syncope, additional falls; shorteracting benzodiazepines are not safer than long-acting ones.
If one of the drugs must be used, consider reducing use of other CNS-active medications that increase risk of falls and fractures (ie, antiepileptics, opioid-receptor agonists, antipsychotics, antidepressants, nonbenzodiazepine and benzodiazepine receptor agonist hypnotics, other sedatives/hypnotics) and implement other strategies to reduce fall risk. Data for antidepressants are mixed but no compelling evidence that certain antidepressants confer less fall risk than others."
Metoclopramide,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Prochlorperazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Promethazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Chlorpromazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Droperidol,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Fluphenazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Haloperidol,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Loxapine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Perphenazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Pimozide,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Prochlorperazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Thioridazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Thiothixene,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Trifluoperazine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Aripiprazole,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Asenapine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Iloperidone,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Lurasidone,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Olanzapine,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Paliperidone,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Risperidone,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Ziprasidone,Parkinson Disease,Avoid,"Dopamine-receptor antagonists with potential to worsen parkinsonian symptoms.
Exceptions: Pimavanserin and clozapine appear to be less likely to precipitate worsening of Parkinson disease. Quetiapine has only been studied in low-quality clinical trials with efficacy comparable to that of placebo in five trials and to that of clozapine in two others."
Aspirin (>325 mg/day),History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Diclofenac,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Diflunisal,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Etodolac,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Fenoprofen,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Ibuprofen,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Ketoprofen,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Meclofenamate,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Mefenamic acid,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Meloxicam,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Nabumetone,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Naproxen,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Oxaprozin,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Piroxicam,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Sulindac,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Tolmetin,History of gastric or duodenal ulcers,Avoid unless other alternatives are not effective and patient can take gastroprotective agent (i.e. proton-pump inhibitor or misoprostol),May exacerbate existing ulcers or cause new/additional ulcers
Aspirin,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Diclofenac,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Diflunisal,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Etodolac,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Fenoprofen,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Ibuprofen,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Ketoprofen,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Meclofenamate,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Mefenamic acid,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Meloxicam,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Nabumetone,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Naproxen,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Oxaprozin,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Piroxicam,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Sulindac,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Tolmetin,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Celecoxib,Chronic Kidney Disease (stage 4 or higher - creatinine clearance <30 mL/min),Avoid,May increase risk of acute kidney injury and further decline of renal function
Estradiol/Levonorgestrel,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Estradiol/Northindrone,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Estradiol/Drospirenone,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Ospemifene,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
Estradiol/Norgestimate,Urinary incontinence (women),Avoid in women (excludes intravaginal estrogen),Lack of efficacy (oral estrogen) and aggravation of incontinence (alpha-1 blockers)
